a_mm;b_mm;c_mm;t_mm;n1;n2;a_ratio;b_ratio;c_ratio;V_outer_mm3;max_vm;Packing eff
134.7;134.7;673.51;1.809;0.9;0.9;1;1;5;60449600;395.0597534;0.6004431647
133.98;133.98;669.91;1.8;0.9;0.85;1;1;5;60449600;559.2125854;0.6101688351
133.25;133.25;666.26;1.79;0.9;0.8;1;1;5;60449600;720.3286743;0.6202540626
132.51;132.51;662.56;1.78;0.9;0.75;1;1;5;60449600;881.2449341;0.6307041587
131.76;131.76;658.82;1.77;0.9;0.7;1;1;5;60449600;1043.626465;0.6415252453
133.86;133.86;669.32;1.798;0.85;1;1;1;5;60449600;67.30617523;0.6118060078
133.2;133.2;666;1.789;0.85;0.95;1;1;5;60449600;276.9440613;0.6209654303
132.53;132.53;662.65;1.78;0.85;0.9;1;1;5;60449600;482.9116821;0.6304309311
131.85;131.85;659.25;1.771;0.85;0.85;1;1;5;60449600;683.4138794;0.6402340273
131.16;131.16;655.81;1.762;0.85;0.8;1;1;5;60449600;874.3942871;0.6503788319
130.46;130.46;652.32;1.753;0.85;0.75;1;1;5;60449600;1062.612061;0.6608895776
129.76;129.76;648.79;1.743;0.85;0.7;1;1;5;60449600;1283.854614;0.6716805788
131.73;131.73;658.63;1.769;0.8;1;1;1;5;60449600;67.39482117;0.6420088464
131.1;131.1;655.52;1.761;0.8;0.95;1;1;5;60449600;289.1953125;0.6512643899
130.47;130.47;652.37;1.753;0.8;0.9;1;1;5;60449600;506.9399109;0.6607391059
129.83;129.83;649.17;1.744;0.8;0.85;1;1;5;60449600;718.7182007;0.6705631383
129.19;129.19;645.93;1.735;0.8;0.8;1;1;5;60449600;923.609375;0.6806249278
128.53;128.53;642.65;1.727;0.8;0.75;1;1;5;60449600;1129.83252;0.6911324283
127.86;127.86;639.32;1.718;0.8;0.7;1;1;5;60449600;1361.595825;0.7020323495
129.71;129.71;648.54;1.742;0.75;1;1;1;5;60449600;67.47238159;0.6724613303
129.12;129.12;645.62;1.735;0.75;0.95;1;1;5;60449600;300.0437012;0.6816795948
128.53;128.53;642.66;1.727;0.75;0.9;1;1;5;60449600;528.5997925;0.6911217029
